ticker,chance
CNC,0.622701839
MA,0.621103118
EFX,0.621103118
TDG,0.618705036
ACN,0.618705036
ADBE,0.617905675
MSFT,0.616306954
APH,0.613109512
MAR,0.611510791
ADP,0.611510791
CDNS,0.610711431
NEE,0.610711431
DPS,0.610367893
VRSN,0.60991207
TSS,0.608313349
HLT,0.608294931
V,0.607513989
INTU,0.606714628
GPN,0.605115907
HRS,0.604316547
TTWO,0.603517186
BA,0.602717826
UNH,0.601119105
FIS,0.601119105
CBOE,0.598721023
NOC,0.598721023
PGR,0.598721023
FISV,0.597921663
AMZN,0.597921663
MAA,0.597122302
AWK,0.597122302
HPQ,0.596752368
ROST,0.596322942
CI,0.595523581
MMC,0.595523581
DLR,0.595523581
BSX,0.594724221
SPGI,0.594724221
AET,0.594724221
ARE,0.594724221
AON,0.59392486
EQIX,0.59392486
BDX,0.59392486
TXN,0.59392486
GLW,0.5931255
NVDA,0.5931255
MMM,0.592326139
AVY,0.591526779
SYK,0.591526779
ALGN,0.591526779
AVGO,0.590727418
RTN,0.590727418
MCD,0.590727418
HUM,0.590727418
CTAS,0.589928058
COST,0.589928058
KO,0.589928058
SNPS,0.589928058
ED,0.589128697
CRM,0.589128697
SHW,0.589128697
CMS,0.588329337
CSCO,0.588329337
MO,0.588329337
KLAC,0.588329337
RSG,0.588329337
RHT,0.587529976
WEC,0.587529976
TMK,0.587529976
WM,0.586730616
MPC,0.586730616
XYL,0.585931255
IDXX,0.585931255
ANSS,0.585131894
AOS,0.585131894
YUM,0.585131894
VRSK,0.584332534
ANTM,0.584332534
MCHP,0.583533173
SYY,0.583533173
LMT,0.583533173
CAG,0.583533173
ILMN,0.582733813
PM,0.582733813
MTD,0.582733813
JPM,0.582733813
DTE,0.581934452
ITW,0.581934452
RJF,0.581934452
HON,0.581934452
PKI,0.581934452
EW,0.581934452
PLD,0.581934452
PEP,0.581135092
XEL,0.581135092
STZ,0.581135092
LUV,0.581135092
RMD,0.580335731
CLX,0.580335731
RCL,0.579536371
MCO,0.579536371
NI,0.579536371
SWK,0.579536371
ETFC,0.579536371
PYPL,0.579335793
CHD,0.57873701
CTXS,0.57873701
FB,0.57873701
AAPL,0.57793765
IT,0.57793765
ROP,0.57793765
AVB,0.57793765
ATVI,0.57793765
CAH,0.57793765
HII,0.57793765
ES,0.577759871
ADSK,0.577138289
CAT,0.577138289
URI,0.577138289
DRE,0.577138289
PNC,0.577138289
RHI,0.577138289
GD,0.576338929
PAYX,0.576338929
UNP,0.576338929
LLY,0.575539568
PFG,0.575539568
ISRG,0.574740208
UDR,0.574740208
HD,0.574740208
AIV,0.573940847
HCA,0.573940847
CME,0.573141487
EIX,0.573141487
LLL,0.573141487
INTC,0.573141487
CBRE,0.573141487
FTV,0.572953737
IPGP,0.572342126
EA,0.571542766
AIZ,0.571542766
COO,0.571542766
MKC,0.571542766
LH,0.571542766
DGX,0.571542766
AEP,0.571542766
NFLX,0.571542766
CCL,0.570743405
BF.B,0.570743405
WAT,0.570743405
VAR,0.570743405
LNT,0.569944045
NDAQ,0.569944045
CSX,0.569944045
HRL,0.569944045
FDX,0.569944045
FFIV,0.569144684
ZTS,0.569144684
SRE,0.569144684
TMO,0.569144684
SCHW,0.569144684
INFO,0.568372093
PX,0.568345324
NSC,0.568345324
AMAT,0.568345324
SPG,0.568345324
CA,0.568345324
AFL,0.567545963
ABBV,0.567545963
MDT,0.567545963
SWKS,0.567545963
NTRS,0.567545963
BAX,0.567545963
ANDV,0.567438148
PSX,0.566746603
SIVB,0.566746603
TJX,0.566746603
USB,0.565947242
CHRW,0.565947242
AMT,0.565947242
BLL,0.565947242
VLO,0.565947242
PH,0.565947242
ESS,0.565147882
AJG,0.565147882
ALL,0.565147882
SBAC,0.565147882
ABT,0.564348521
DUK,0.564348521
LEG,0.564348521
IR,0.564348521
MTB,0.564348521
ALLE,0.564291564
BBY,0.563549161
TSN,0.563549161
EL,0.563549161
PNW,0.563549161
FRT,0.563549161
DXC,0.563002681
EXPE,0.5627498
PRU,0.5627498
LOW,0.56195044
HIG,0.56195044
JNJ,0.56195044
LRCX,0.56195044
TRV,0.56195044
IQV,0.56195044
TEL,0.56195044
VFC,0.56195044
ESRX,0.56195044
HPE,0.561569689
IFF,0.561151079
AMP,0.561151079
FITB,0.561151079
EXPD,0.561151079
CL,0.561151079
GOOGL,0.560351719
AMD,0.560351719
